type_stands,X,Y,Easting,Northing,location_stand,no_stands
Sheffield Stand,-6.260790825,53.34894062,315870.526,234575.007,"Prince's street north, outside penny's",18
Sheffield Stand,-6.250971258,53.35126939,316518.041,234850.136,Talbot street outside wake cup,12
Sheffield Stand,-6.269926429,53.35090915,315256.892,234779.286,"Capel Street, outside The Horse Shoe shop",6
Sheffield Stand,-6.263267845,53.35177931,315697.898,234886.887,Parnell street outside king fisher restraunt.,4
Sheffield Stand,-6.263511926,53.34102076,315710.776,233689.256,"Johnstone place, outside pharmacy",6
Sheffield Stand,-6.265024692,53.33286797,315632.078,232779.547,"Camden street upper, outside damascus gate restaurant ",8
Sheffield Stand,-6.262032688,53.34383996,315801.655,234005.381,"Trinity street, outside jack jones shop",4
Sheffield Stand,-6.263313442,53.34680228,315708.34,234332.958,"End of Liffey street lower, outside the grand social",4
Sheffield Stand,-6.272449046,53.33910542,315120.718,233461.67,End of Patricia street outside spar,5
Sheffield Stand,-6.269899607,53.34332353,315279.141,233935.184,"Start of westborough street, beside the butchers bar",14
Sheffield Stand,-6.29202649,53.34690716,313796.011,234298.491,Heuston Luas stop,16
Sheffield Stand,-6.288935244,53.34351569,314010.91,233926.01,James street outside McCanns pub,3
Sheffield Stand,-6.280841678,53.34319623,314550.773,233903.411,Thomas street outside Massey bros funeral home,4
Sheffield Stand,-6.265047491,53.34538679,315596.696,234172.631,"Essex street east, outside costa cafe.",8
Sheffield Stand,-6.264875829,53.34536358,315608.191,234170.326,"Eustace street, outside the orseman pub",4
Sheffield Stand,-6.263965219,53.3450073,315669.796,234132.153,"Cecilia street, outside temple lane recording studios",8
Sheffield Stand,-6.263536066,53.3450113,315698.364,234133.293,"Cecilia street, outside luigi malones restaurant",4
Sheffield Stand,-6.261535138,53.34571905,315829.696,234215.297,"Fleet Street, across from thunder road cafe",8
Sheffield Stand,-6.295009106,53.34846509,313593.252,234467.114,Infirmary road,7
Sheffield Stand,-6.262722015,53.34809683,315744.217,234477.977,Middle abbey street outside arnotts.,4
Sheffield Stand,-6.264595538,53.34786626,315620.084,234449.284,Upper abbey street near the Jervia Luas stop.,3
Sheffield Stand,-6.252361983,53.35108127,316425.953,234826.933,Talbot street across the road from Paddy Power,9
Stainless Steel Curved,-6.238356829,53.34462059,317376.228,234130.903,Top of Forbes street,4
Stainless Steel Curved,-6.236162782,53.3446302,317522.314,234135.58,All along blood stone road,12
Stainless Steel Curved,-6.266330928,53.3602014,315471.177,235819.159,North Circular road outside Matter hospital. ,25
Sheffield Stand,-6.267299205,53.35003097,315434.199,234685.804,Parnell street outside Jervis medical centre,5
Sheffield Stand,-6.270107478,53.34501931,315260.724,234123.558,"Wood quay, outside DCC",5
Sheffield Stand,-6.257431358,53.34837783,316095.756,234517.835,Start of marborough street outside the abbey theatre,5
Sheffield Stand,-6.271288991,53.34610495,315179.115,234242.465,Ormond square,3
Sheffield Stand,-6.263249069,53.34238835,315724.58,233841.871,"Drury street, outside George's st. arcade",8
Sheffield Stand,-6.237128377,53.34872687,317446.749,234589.876,Sponsor Dock Luas station,34
Sheffield Stand,-6.296098083,53.34829617,313521.186,234446.584,Outside criminal courts of justice,42
Sheffield Stand,-6.297288984,53.3466958,313446.134,234266.598,"Houston station,",166
Sheffield Stand,-6.257094741,53.34794472,316119.348,234470.185,Eden quay,10
Sheffield Stand,-6.262814552,53.34105679,315757.124,233694.396,"Chatham road, outside DIT music and drama",4
Sheffield Stand,-6.265170872,53.35093077,315573.483,234789.378,Parnell street outside cycleways. ,11
Sheffield Stand,-6.259318292,53.34330432,315983.877,233950.178,Bottom of grafton streer,10
Sheffield Stand,-6.247524619,53.3359728,316789.331,233153.532,Baggot street lower outside tailored finance.,5
Sheffield Stand,-6.267343462,53.34503372,315444.753,234129.627,"Essex street, outside the porterhouse pub",4
Sheffield Stand,-6.265596002,53.33655017,315584.065,233188.385,"Wexford street, in front of whelans off licence",3
Sheffield Stand,-6.26895681,53.34913196,315326.251,234583.081,Capel street outside codys of Capel Street.,2
Sheffield Stand,-6.266548187,53.35023351,315483.659,234709.557,Parnell street across the road from Euro Giant shop,2
Sheffield Stand,-6.258189082,53.35024071,316040.24,234723.909,Marlborough Street outside Spar shop,5
Sheffield Stand,-6.249909103,53.35103243,316589.41,234825.5,Amiens Street at Luas station,8
Sheffield Stand,-6.265365332,53.33578381,315601.502,233103.476,"Camden street, outside penny farthing cycles",2
Sheffield Stand,-6.265102476,53.33561404,315619.469,233085.009,"Camden street lower, outside tommy Moore jewellers",2
Sheffield Stand,-6.261722893,53.35282476,315797.933,235005.731,Cavendish road outside the Ambassador theatre.,13
Sheffield Stand,-6.252375394,53.34952263,316429.307,234653.463,Beresford Place Infront of Busaras.,10
Sheffield Stand,-6.257043779,53.34728023,316124.547,234396.322,"Burgh quay, outside Jaffa deli",10
Sheffield Stand,-6.257368326,53.34717936,316103.209,234384.569,"Hawkins street, outside PCI college",8
Sheffield Stand,-6.259280741,53.34530433,315980.949,234172.805,"Westmoreland street, outside fexco",4
Sheffield Stand,-6.25984937,53.34428192,315945.856,234058.105,"College green, outside dubarry of Ireland shop",12
Sheffield Stand,-6.254621744,53.35223079,316272.359,234951.172,Mabbot lane,6
Hoops,-6.263420731,53.33592875,315730.637,233122.755,,
Hoops,-6.265754253,53.33960508,315565.264,233528.086,,
Hoops,-6.261592805,53.34363419,315831.507,233983.195,,
Hoops,-6.263879389,53.35145831,315658.048,234850.175,Parnell Street outside Centra,
Hoops,-6.265408248,53.34110643,315584.249,233695.719,,
Hoops,-6.265803874,53.34514581,315546.977,234144.59,,
Hoops,-6.265716702,53.34523708,315552.536,234154.888,,
Hoops,-6.26422137,53.34497847,315652.816,234128.53,,
Hoops,-6.251496971,53.33775535,316519.88,233345.409,,
Hoops,-6.266094893,53.35038881,315513.422,234727.572,,
Hoops,-6.280289143,53.3472354,314576.739,234353.786,,
Hoops,-6.250061989,53.33728289,316616.747,233295.175,,
Hoops,-6.247862577,53.33837834,316760.249,233420.672,,
Hoops,-6.252391487,53.33794353,316459.788,233364.891,,
Hoops,-6.253306121,53.3381221,316398.382,233383.272,,
Hoops,-6.261253506,53.33945615,315865.43,233518.805,,1
Hoops,-6.261083186,53.33967315,315876.185,233543.229,,
Hoops,-6.25698477,53.33909421,316150.724,233485.461,,
Hoops,-6.261006743,53.33977164,315881.01,233554.313,,
Hoops,-6.266705096,53.34502571,315487.286,234129.767,,
Hoops,-6.249659657,53.34338438,316626.893,233974.817,,
Hoops,-6.280277073,53.34703925,314578.069,234331.977,,
Hoops,-6.2667346,53.34885416,315474.974,234555.758,,
Hoops,-6.260680854,53.34570624,315886.62,234215.257,,
Hoops,-6.26025036,53.34573587,315915.208,234219.253,,
Hoops,-6.259184182,53.34787667,315980.397,234459.217,,
Hoops,-6.26599431,53.34688074,315529.605,234337.349,,
Hoops,-6.255045533,53.3514511,316246.263,234863.717,,
Hoops,-6.265783757,53.34033214,315561.333,233608.947,Aungier street; outside queen beauty salon,
Hoops,-6.264296472,53.35105325,315631.373,234804.423,"Parnell street, outside Paddy Powers",
Hoops,-6.268185675,53.3447647,315389.393,234098.328,,
Hoops,-6.265089065,53.33518961,315621.511,233037.8,,
Hoops,-6.260890067,53.35171207,315856.402,234883.26,O'Connell Street outside the Gresham hotel,
Hoops,-6.262542307,53.34309454,315769.736,233921.602,Exchequer Street,
Hoops,-6.263363063,53.34307372,315715.132,233917.955,,
Hoops,-6.263764054,53.34312737,315688.282,233923.276,Excheqer Street,
Hoops,-6.262097061,53.34388319,315797.251,234010.087,,
Hoops,-6.267238855,53.34506734,315451.628,234133.537,,
Hoops,-6.278563142,53.3483386,314688.714,234479.324,,
Hoops,-6.266171336,53.34736029,315516.52,234390.428,,
Hoops,-6.251912713,53.33381458,316502.929,232906.195,,
Hoops,-6.277897954,53.34931769,314730.38,234589.348,,
Hoops,-6.26231432,53.34803598,315771.53,234471.866,,
Hoops,-6.259095669,53.34103037,316004.875,233697.49,,
Hoops,-6.256929785,53.34124416,316148.543,233724.801,,
Hoops,-6.249551028,53.34355492,316633.662,233993.973,,
Hoops,-6.260042489,53.34838503,315921.864,234514.395,,
Hoops,-6.257686168,53.33927598,316103.515,233504.548,,
Hoops,-6.264009476,53.34846669,315657.485,234517.05,,
Sheffield Stand,-6.263313442,53.35443291,315687.676,235182.112,Top of Parnell square east.,2
Sheffield Stand,-6.255112588,53.3487581,316249.126,234563.925,Bresford Place beside Liberty Hall and bus eireann bus stop,3
Sheffield Stand,-6.272549629,53.33352788,315129.04,232840.827,Ovoca,4
Sheffield Stand,-6.257003546,53.34618021,316130.216,234273.975,Hawkins street,4
Sheffield Stand,-6.258065701,53.35383416,316038.694,235123.997,Cumberland street North outside nam thanh supermarket,2
Sheffield Stand,-6.260721087,53.34278548,315891.862,233890.163,"Clarendon street, across from BT",4
Sheffield Stand,-6.251509041,53.34995172,316485.825,234702.625,Store street outside Bus Eireann,3
Sheffield Stand,-6.264576763,53.35554873,315600.544,235304.237,North Frederick street outside Lady beauty Parlour,3
Sheffield Stand,-6.2644279,53.34248363,315645.813,233850.564,"South George's street, outside laser dvd",4
Sheffield Stand,-6.248142868,53.34945698,316711.319,234653.066,Georges dock outside Ely chq,4
Sheffield Stand,-6.278260052,53.3472354,314711.859,234357.044,Smithfield near luas station,6
Sheffield Stand,-6.292752028,53.34093668,313763.589,233632.925,St James hospital,40
Sheffield Stand,-6.300144196,53.33877552,313276.991,233380.675,Brooksfield road outside mace,2
Sheffield Stand,-6.26120358,53.34525232,315853.041,234163.896,Back of fleet street car park,
Sheffield Stand,-6.255120635,53.3473715,316252.362,234409.608,Tara street,3
Sheffield Stand,-6.249292195,53.34397447,316649.754,234041.084,Bottom of Westmoreland street,2
Sheffield Stand,-6.258726865,53.34672142,316013.987,234331.401,D'Oliver street,6
Sheffield Stand,,,315276.8,234720.7,Top of Capel Street,11
Sheffield Stand,,,315543.6,234283.9,Swift Row,5
Sheffield Stand,,,315202.8,233733.2,Bride Road,5
Sheffield Stand,,,316331.7,234260.3,Luke Street,14
Sheffield Stand,,,314870.8,233885.1,Francis Street at Thomas Street end,10
Sheffield Stand,,,315412.9,234035,Exchange Street Upper,7
Sheffield Stand,,,315867.3,232630.2,Charlemont Street ,5
Sheffield Stand,,,315095.9,233224.7,Clanbrassil St north of Fumbally Lane,5
Sheffield Stand,,,315093.1,233215.3,Clanbrassil St south of Fumbally Lane,5
Sheffield Stand,,,315396.5,234522.4,Mary Street east of Jervis Lane Lower,9
Sheffield Stand,,,314958.3,233743.2,Thomas Davis Street South at Francis St end,10
Sheffield Stand,,,315325.2,234682.2,Ryders Row,16
Sheffield Stand,,,315836.321,233986.497,St Andrews Street,3
Sheffield Stand,,,315688.88,233915.168,Dame Court,8
Sheffield Stand,,,317524.528,233685.254,Barrow Street,5
Sheffield Stand,,,317474.334,233873.751,Ringsend Road,3
Sheffield Stand,,,315274.418,234746.734,Capel Street,8
Sheffield Stand,,,315210.572,234600.911,Green Street,4
Sheffield Stand,,,315640.759,235501.21,Dorset Street Lower,3
Sheffield Stand,,,315259.389,235472.585,Blessington Street,5
Sheffield Stand,,,314729.153,234630.562,King Street North,4
Sheffield Stand,,,315026.347,233545.252,Francis Street,5
Sheffield Stand,,,315113.636,233680.183,Patrick Street,6
Sheffield Stand,,,315680.265,234840.376,Moore Street,8
Sheffield Stand,,,315674.662,234834.082,Moore Street,11
Sheffield Stand,,,315680.265,234840.376,Moore Street,10
Sheffield Stand,,,314366.6,233747.271,Bellevue,8
Sheffield Stand,,,315366.278,233644.474,Golden Lane,6
Sheffield Stand,,,315867.055,233283.466,St. Stephens Green South,5
Sheffield Stand,,,315883.421,233553.689,St. Stephens Green West,8
Sheffield Stand,,,315523.07,233309.567,Kevin Street Lower,11
Sheffield Stand,,,315632.076,232778.41,Richmond Street South,3
Sheffield Stand,,,315662.699,232694.939,Richmond Street South,5
Sheffield Stand,,,315535.25,233062.637,Pleasents Street,4
Sheffield Stand,,,314775.5,234008.681,Oliver Bond Street,5
Sheffield Stand,,,323269.966,237088.98,Causeway Road,10
Sheffield Stand,,,317772.397,236957.296,Griffith Avenue,5
Sheffield Stand,,,316003.097,234441.355,Eden Quay,5
Sheffield Stand,,,315530.717,234332.111,Jervis Street 1,7
Sheffield Stand,,,315515.022,234395.948,Jervis Street 2,4
Sheffield Stand,,,316417.291,234720.167,Store Street,8
Sheffield Stand,,,315142.798,235873.295,North Circular Road,4
Sheffield Stand,,,315575.179,235805.539,North Circular Road,5
Sheffield Stand,,,315008,236082,Philbsborough Road/Connaught St,4
Sheffield Stand,,,317218.987,234149.856,Cardiff Lane,8
Sheffield Stand,,,321426.8,236982.787,Redstables Market,8
Sheffield Stand,,,314991.026,233578.667,Marks Alley West,5
Sheffield Stand,,,314964.281,233662.017,Carman's Hall at Francis Street,5
Sheffield Stand,,,314754.179,233600.373,Carman's Hall at Meath Street,5
Sheffield Stand,,,315084.891,233466.694,Dean Street,10
Sheffield Stand,,,314758.573,233872.512,Thomas Street,16
Sheffield Stand,,,314847.147,233918.909,Augustine Street West at Cornmarket,5
Sheffield Stand,,,316742.383,234482.746,North Wall Quay ,3
Sheffield Stand,,,316878.557,234472.704,Northern Campshires,6
Sheffield Stand,,,314657.73,232599.721,Washington Street,2
Sheffield Stand,,,314713.692,232624.901,Greenville Terrace,2
Sheffield Stand,,,315131.468,235859.485,North Circular Road Opposite Library,2
Sheffield Stand,,,315224.041,235850.499,North Circular Road West of Berkeley Road,3
Sheffield Stand,,,315187.398,235845.907,Goldsmith Street Westside,2
Sheffield Stand,,,315052.381,235892.815,Phibsborough Road outside Doyles Bar,5
Sheffield Stand,,,315038.144,235896.377,Phibsborough Road Westside at Thunders Bakery,4
Sheffield Stand,,,315054.399,235849.142,Phibsborough Road Eastside south of NCR at AIB,2
Sheffield Stand,,,315054.644,235834.509,Phibsborough Road Eastside at Rothar,2
Sheffield Stand,,,315068.717,235878.393,North Circular Road east of Phibsborough Rd at Doyles,5
Sheffield Stand,,,314458.574,234733.715, Stoney Batter eastside outside Centra,5
Sheffield Stand,,,314380.423,234840.865,Manor Street eastside at Grants,6
Sheffield Stand,,,314392.437,234819.183,Manor Street eastside outside No. 3,3
Sheffield Stand,,,314394.945,234787.218,Manor Street westside,2
Sheffield Stand,,,315628.788,233719.678,Stephen Street Lower,10
Sheffield Stand,,,315670.353,233485.381,"York Street, southside at Bright Wash",4
Sheffield Stand,,,315139.74,233575.131,Patrick Street ,5
Sheffield Stand,,,315518.515,233386.003,Bishop Street,10
Sheffield Stand,,,315588.21,233293.954,Cuffe Street,5
Sheffield Stand,,,316890.787,233674.835,Holles Street,5
Sheffield Stand,,,316778.06,234007.712,Pearse Street outside subway,11
Sheffield Stand,,,316820.505,233995.165,Pearse Street outside Trinity Business,10
Sheffield Stand,,,313650.646,234432.246,Parkgate Street outside Nancy Hands,5
Sheffield Stand,,,313715.21,234429.126,Parkgate Street outside Westbrook Motors,6
Sheffield Stand,,,314464.667,234494.741,Blackhall Place,3
Sheffield Stand,,,314674.515,234405.396,Haymarket,6
Sheffield Stand,,,314664.039,234318.689,Coke Lane,5
Sheffield Stand,,,316753.452,233185.195,Baggot Street Lower at James Street East (Bank of Ireland),10
Sheffield Stand,,,316506.506,233333.09,Baggot Street Lower west of Pembroke St Lower,10
Sheffield Stand,,,316677.843,232857.51,"Wilton Terrace, at junction with Wilton Place",10
Sheffield Stand,,,317078.893,233431.529,Mount Street Lower outside No 33,10
Sheffield Stand,,,316906.785,233107.34,"Herbert Street, south of Convent Close",10
Sheffield Stand,,,317267.6,234287.385,Sir John Rogerson's Quay east of Cardiff Lane,10
Sheffield Stand,,,315411.93,233628.84,"Whitefriar Street, eastside south of Golden Lane",10
Sheffield Stand,,,316611.605,233686.795,Merrion Square North opposite No.6,10
Sheffield Stand,,,316802.03,233771.28,"Fenian Street ,northside  east of Bass Place",10
Sheffield Stand,,,316237.885,232748.28,"Adelaide Road , northside outside Eye and Ear Hospital",10
Sheffield Stand,,,315122.13,231505.16,"Ailesbury Road, northside, west of Merlyn Park",10
Sheffield Stand,,,319571.845,231710.705,"Strand Road Car Park, opposite No.9 Adelaide Mews",10
Sheffield Stand,,,318907.92,232850.363,"Sandymout Village, eastside opposite No .95",5
Sheffield Stand,,,318900.37,232844.685,"Sandymout Village, westside outsideNo .95",5
Sheffield Stand,,,316498.005,230954.255,"Tudor Road, westside opposite Cowper Gardens ",10
Sheffield Stand,,,318758.27,233817.49,"Pine Road, northeastern corner at Ringsend Park",7
Sheffield Stand,,,318132.385,233855.73,"Fitzwilliam Street westside, north of Bridge Street",10
Sheffield Stand,,,315176.22,234193.665,Ormond Quay Upper northside outside No.31-36,10
Sheffield Stand,,,315257.545,234212.77,Ormond Quay Upper northside outside No. 20,8
Sheffield Stand,,,315353.185,234509.945,"Mary Street, southside east of Capel Street",11
Sheffield Stand,,,315253.785,234838.585,"Yarnhall Street,  northside west of Bolton Street",10
Sheffield Stand,,,315693.765,234931.145,Parnell Square West south of entrance to Rotunda Hospital,6
Sheffield Stand,,,315661.06,235156.09,Parnell Square North opposite No. 18,10
Sheffield Stand,,,316316.71,234692.13,"Beresford Lane, northside west of Gardiner Street Lower",10
Sheffield Stand,,,316484.875,234837.725,"Talbot Street, northside under railway bridge",8
Sheffield Stand,,,317789.9,234745.92,"Sheriff Street Upper,  northside opposite Castleforbes Street",9
Sheffield Stand,,,317279.005,234791.145,"Sheriff Street Upper,  northside outside train station",9
Sheffield Stand,,,316101.03,235369.245,Mountjoy Square South northside opposite No. 40-45,10
Sheffield Stand,,,316068.54,235333.71,"Mountjoy Square South, southside outside No. 48",9
Sheffield Stand,,,315848.25,235354.67,Gardiner Place northside at Temple Street,9
Sheffield Stand,715411.5653,734777.7955,315485.8467,234751.6552, Kings Inn Street,10
Sheffield Stand,715240.9941,735707.5394,315315.2303,235681.5998,Eccles street ,10
Sheffield Stand,715748.0852,735395.1692,315822.4329,235369.1651,Temple Street North ,10
Sheffield Stand,715744.6884,735382.7171,315819.0355,235356.7102,Temple Street North,9
Sheffield Stand,714915.6044,734475.1011,314989.7824,234448.892,Marys Lane ,9
Sheffield Stand,717559.0141,732263.7528,317633.7794,232237.081, Herbert Park ,10
Sheffield Stand,714891.6349,734165.2904,314965.8108,234139.0139, Merchants Quay ,10
Sheffield Stand,715035.9584,733324.5788,315110.173,233298.1208, New Street South ,10
Sheffield Stand,714593.7771,733855.0555,314667.892,233828.7098, Meath Street ,10
Sheffield Stand,714709.2063,733366.1625,314783.3505,233339.7114,Newmarket ,10
Sheffield Stand,714805.8794,733884.9108,314880.0395,233858.573,Francis Street ,10
Sheffield Stand,714989.9373,733926.4666,315064.1364,233900.1389, High Street ,10
Sheffield Stand,714632.6442,733701.3773,314706.7689,233674.9985,Meath Street,10
Sheffield Stand,714372.6566,733738.4085,314446.7253,233712.036, School Street,10
Sheffield Stand,714035.5732,733980.7875,314109.5673,233954.4655, James Street ,10
Sheffield Stand,714444.5374,733981.3375,314518.6191,233955.0182, Bridgefoot Street ,10
Sheffield Stand,713646.8884,734215.7708,313720.7971,234189.4937,St Johns Road West ,5
Sheffield Stand,714205.7279,733984.8719,314279.7584,233958.5518, Watling Street ,10
Sheffield Stand,714293.6437,733714.8625,314367.6956,233688.4844,  Taylor’s lane,10
Sheffield Stand,714769.1713,733948.9631,314843.3229,233922.6389,   Saint Augustine Street ,10
Sheffield Stand,711855.8159,733579.5818,311929.3464,233553.1588, Grattan Crescent ,10
Sheffield Stand,715539.9289,731778.2679,315614.266,231751.4775,  Leinster Square ,10
Sheffield Stand,721274.1949,738229.6324,321349.696,238204.2792,  Howth Road ,10
Sheffield Stand,721461.4646,738209.6796,321537.0057,238184.3233, Raheny Main Street ,11
Sheffield Stand,720080.4543,735858.3008,320155.7242,235832.4255, Vernon Avenue ,8
Sheffield Stand,715880.5903,736106.5454,315954.9596,236080.6965, Drumcondra Road Upper,5
Sheffield Stand,716305.0323,736147.8404,316379.492,236122.0032,  Clonliffe Road ,5
Sheffield Stand,714624.6484,736870.8041,314698.7417,236845.1129,  Finglas Road ,8
Sheffield Stand,713168.8994,739130.3766,313242.66,239105.166, Seamus Ennis Road ,10
Sheffield Stand,713197.7814,738926.9737,313271.5501,238901.7192,Finglas Road,5
Sheffield Stand,719658.1364,738961.7417,319733.2851,238936.5366,Coolock Main Street ,5
Sheffield Stand,721038.612,733538.5211,321114.1098,233512.1489,Poolbeg  ,10
Sheffield Stand,714426.4439,733733.518,314500.5241,233707.1449, South Earl Street.,5
Sheffield Stand,714693.2518,734027.531,314767.3865,234001.2233, John Street West.,9
Sheffield Stand,714439.5889,733341.1125,314513.6756,233314.6543, Ormond Street.,5
Sheffield Stand,711518.2949,736920.5468,311591.7227,236894.8465, Ashtown Grove.,8
Sheffield Stand,714060.7656,733161.9352,314134.7728,233135.4357, Cameron Street.,5
Sheffield Stand,712437.4456,732931.5586,312511.1067,232904.9986, Benbulbin Road.,8
Sheffield Stand,713006.4992,732663.6503,313080.2848,232637.0358, Keeper Road.,7
Sheffield Stand,713006.4992,732663.6503,313080.2848,232637.0358,South Circular Road.,5
Sheffield Stand,715063.2344,736630.9297,315137.4238,236605.1893, Prospect Way.,4
Sheffield Stand,713362.6358,733098.8582,313436.4938,233072.3404, South Circular Road.,5
Sheffield Stand,714295.0942,738498.6981,314369.1016,238473.3577, Glasanaon Road.,8
Sheffield Stand,716706.4443,734339.3748,316781.0072,234313.1479, City Quay.,6
Sheffield Stand,715430.2719,734159.7843,315504.5632,234133.5101,Essex Street East.,10
Sheffield Stand,715366.6408,734189.163,315440.9182,234162.8947,Wellington Quay.,6
Sheffield Stand,718186.8303,736274.6827,318261.6913,236248.8853,Clontarf Road.,12
Sheffield Stand,715359.5431,734176.6214,315433.819,234150.3504,Parliment Street,6
Sheffield Stand,717418.866,736212.3466,317493.5633,236186.5306,Fairview Avenue Lower.,5
Sheffield Stand,713124.8195,737100.7832,313198.5896,237075.1322,Bannow Road.,5
Sheffield Stand,714976.2926,737624.5548,315050.4539,237599.0293,Old Finglas Road.,5
Sheffield Stand,714988.8551,736876.5149,315063.0263,236850.8273,Prospect Square.,6
Sheffield Stand,713258.0059,738804.7184,313331.7886,238779.4378,Finglas Road.,6
Sheffield Stand,715410.6348,739762.6272,315484.8686,239737.5681,Ballymun road.,10
Sheffield Stand,715383.7086,739653.7401,315457.9377,239628.6571,Gateway Crescent.,5
Sheffield Stand,715826.891,736943.2622,315901.2408,236917.5944,Millmount Avenue.,5
Sheffield Stand,713254.2499,735938.0762,313328.0586,235912.1739,Navan Road.,8
Sheffield Stand,719511.068,731718.6504,319586.2566,231691.8731,Strand Road Car Park.,10
Sheffield Stand,711356.1167,732869.0107,311429.5464,232842.4303,Naas Road.,5
Sheffield Stand,719468.6273,731934.0535,319543.8048,231907.3227, Strand Road Car Park.,8
Sheffield Stand,718043.099,732330.8,318117.9673,232304.1459,Merrion Road,8
Sheffield Stand,716695.975,734036.35,316770.5385,234010.0573,Pearse St,5
Sheffield Stand,714754.963,732197.764,314829.1279,232171.0596,Harolds Cross Rd,4
Sheffield Stand,714526.182,734013.314,314600.281,233987.0022,Oliver Bond St,10
Sheffield Stand,716110.956,736662.282,316185.3693,236636.5551,Drumcondra Rd Lwr,5
Sheffield Stand,715553.28,731456.404,315627.623,231429.5438,Rathmines Rd Upr,5
Sheffield Stand,715870.477,732578.804,315944.8775,232552.1896,Charlemont St,6
Sheffield Stand,716630.616,732849.465,316705.1768,232822.9143,Mespil Road,5
Sheffield Stand,715545.687,733040.072,315620.0135,233013.5556,Camden St Lwr,5
Sheffield Stand,717611.569,732664.596,317686.3417,232638.0115,Pembroke Rd,5
Sheffield Stand,714927.508,735224.535,315001.6816,235198.4886,Phibsboro Rd,5
Sheffield Stand,717795.693,735178.935,317870.4809,235152.8973,East Rd,12
Sheffield Stand,715539.511,731573.405,315613.8499,231546.5702,Rathgar Rd,5
Sheffield Stand,716587.097,736964.292,316661.6092,236938.6337,Grace Park Rd,5
Sheffield Stand,713380.101,733296.721,313453.9609,233270.2463,James Walk,5
Sheffield Stand,717151.583,733945.994,317226.2449,233919.6846,Pearse St,6
Sheffield Stand,713880.36,732069.747,313954.3385,232043.0092,Clogher Rd,4
Sheffield Stand,714670.789,731337.401,314744.9438,231310.5093,Harolds Cross Rd,5
Sheffield Stand,713509.122,731827.746,313583.0231,231800.9533,Sundrive Rd,4
Sheffield Stand,714888.889,732743.555,314963.0775,232716.97,Clanbrassil St Lwr,5
Sheffield Stand,718373.438,733465.362,318448.3662,233438.9563,Irishtown Rd,5
Sheffield Stand,714914.538,732979.093,314988.7298,232952.5592,Clanbrassil St Lwr,5
Sheffield Stand,715139.794,737554.414,315213.991,237528.8743,St Davids Terrace,5
Sheffield Stand,715124.103,735412.363,315198.3169,235386.3586,Myrtle St,10
Sheffield Stand,716870.904,733751.522,316945.5077,233725.1686,Hogan Pl,5
Sheffield Stand,708357.319,732059.886,308430.112,232033.111,Greendale Rd,10
Sheffield Stand,715608.761,737960.796,315683.0544,237935.3475,The Rise,5
Sheffield Stand,713877.526,731300.64,313951.5109,231273.7352,Sundrive Rd,5
Sheffield Stand,714270.675,734353.306,314344.7161,234327.0663,Ellis Rd,5
Sheffield Stand,716170.695,736909.796,316245.1187,236884.1232,Drumcondra Rd Upr,5
Sheffield Stand,716516.949,731821.941,316591.4951,231795.1665,Ranelagh Rd,5
Sheffield Stand,713649.165,733823.213,313723.0778,233796.8543,Basin View,7
Sheffield Stand,714234.558,731428.387,314308.6184,231401.5122,Kimmage Rd Lwr,5
Sheffield Stand,717066.542,735728.597,317141.1686,235702.6738,North Strand Rd,5
Sheffield Stand,711936.28,736588.622,312009.8003,236562.8523,Navan Rd,8
Sheffield Stand,711935.874,736640.89,312009.3937,236615.1317,Kinvara Ave,5
Sheffield Stand,715787.497,734021.136,315861.8661,233994.834,St Andrews St,6
Sheffield Stand,-6.198268,53.359426,320003.6992,235844.05,Clontard Road Car Park,18
Sheffield Stand,-6.261713,53.353099,3157997.201,235037.5983,Cavendish road,9
Sheffield Stand,-6.263217,53.354378,315693.8681,235177.361,Parnell Square East,5
Sheffield Stand,,,315960.8431,234337.9651,Westmorland St/ Aston Quay Junction,6
Sheffield Stand,,,314860.4221,234062.7306,Lower bridge st,5
Sheffield Stand,,,314991.887,232105.4169,Mount Drummoud,5
